2014-11-04,211900,213250,211600,213000,200,213000,-5.3603826635,-4.6073450066,-4.8309232711,20141104,1,11,2014,86100316,1635000
2014-11-03,210835,211310,209000,211100,200,211100,-5.487648116,-4.5841133058,-4.8315468258,20141103,0,11,2014,86100316,1635000
2014-10-31,211028,212300,209095,210000,500,210000,-5.408415924,-4.5886606086,-4.8321588287,20141031,4,10,2014,86100316,1635000
2014-10-30,209250,209813,204700,209030,300,209030,-5.156415732,-4.5588249077,-4.8303726767,20141030,3,10,2014,86100316,1635000
2014-10-29,210725,210900,208400,209600,300,209600,-4.9897519499,-4.5550782104,-4.8275646756,20141029,2,10,2014,86100316,1635000
2014-10-28,209500,210580,209279,210570,500,210570,-5.0859975454,-4.5578535784,-4.8282367679,20141028,1,10,2014,86100316,1635000
2014-10-27,208447,209410,208000,209222,200,209222,-4.8445213629,-4.556525788,-4.8292167538,20141027,0,10,2014,86100316,1635000
2014-10-24,207579,209251,207535,209251,300,209251,-4.6915716968,-4.5506405881,-4.8291580571,20141024,4,10,2014,86100316,1635000
2014-10-23,209000,209124,207646,208109,200,208109,-4.5627601616,-4.5544736699,-4.8297726062,20141023,3,10,2014,86100316,1635000
2014-10-22,208805,209000,206385,206525,200,206525,-4.5783538433,-4.5557817329,-4.8285158931,20141022,2,10,2014,86100316,1635000
2014-10-21,206890,208400,206270,208330,400,208330,-4.6506253193,-4.5544964657,-4.830417769,20141021,1,10,2014,86100316,1635000
2014-10-20,205303,206207,204700,205850,300,205850,-4.7341213671,-4.5750006722,-4.834282431,20141020,0,10,2014,86100316,1635000
2014-10-17,203995,206437,203569,205505,800,205505,-4.5041115006,-4.5754574708,-4.8343146731,20141017,4,10,2014,86100316,1635000
2014-10-16,199400,203345,199195,202000,400,202000,-4.3510322136,-4.6249653234,-4.8430661645,20141016,3,10,2014,86100316,1635000
2014-10-15,204614,205146,198000,203800,1000,203800,-4.2833864005,-4.6365088175,-4.8372643355,20141015,2,10,2014,86100316,1635000
2014-10-14,205050,208387,205000,206025,800,206025,-4.3087748162,-4.6529154231,-4.8354406209,20141014,1,10,2014,86100316,1635000
2014-10-13,204920,208000,204706,204913,600,204913,-4.2581344897,-4.6439521414,-4.8359103123,20141013,0,10,2014,86100316,1635000
2014-10-10,206600,209190,205150,205150,500,205150,-4.2408885125,-4.6420286217,-4.8349654289,20141010,4,10,2014,86100316,1635000
2014-10-09,210000,210328,205750,205850,500,205850,-4.2126966105,-4.6441901544,-4.8167327344,20141009,3,10,2014,86100316,1635000
2014-10-08,205000,210175,205000,209950,600,209950,-4.3634175231,-4.7199770225,-4.8291083077,20141008,2,10,2014,86100316,1635000
2014-10-07,208000,208000,205035,205035,300,205035,-4.708093444,-4.840201118,-4.8408407149,20141007,1,10,2014,86100316,1635000
2014-10-06,210275,210359,207997,208585,300,208585,-4.8910062797,-4.9046555141,-4.8487884622,20141006,0,10,2014,86100316,1635000
2014-10-03,207450,209420,207200,208750,600,208750,-4.5701806715,-4.8587420206,-4.8484636101,20141003,4,10,2014,86100316,1635000
2014-10-02,205000,207500,205000,206250,900,206250,-4.6518432157,-4.8931994336,-4.8496363566,20141002,3,10,2014,86100316,1635000
2014-10-01,207310,207310,204400,204855,400,204855,-4.7184368509,-4.9046790864,-4.8506934693,20141001,2,10,2014,86100316,1635000
2014-09-30,207451,208011,206707,206900,300,206900,-4.6461096366,-4.929889306,-4.8541240159,20140930,1,9,2014,86100316,1635000
